Date,Group5,WHBO
2008/03/27,5200,13536
2008/03/28,5250,13525
2008/03/31,5175,13100
2008/04/01,5179,13100
2008/04/02,5450,13201
2008/04/03,5500,13550
2008/04/04,5400,13420
2008/04/07,5465,13600
2008/04/08,5380,13750
2008/04/09,5500,13610
2008/04/10,5425,13434
2008/04/11,5400,13200
2008/04/14,5400,13200
2008/04/15,5390,13400
2008/04/16,5225,13100
2008/04/17,5202,12660
2008/04/18,5230,13000
2008/04/21,5260,13000
2008/04/22,5250,12900
2008/04/23,5300,12900
2008/04/24,5200,12800
2008/04/25,5220,12920
2008/04/29,5199,12700
2008/04/30,5030,12700
2008/05/05,4999,12549
2008/05/06,5005,12329
2008/05/07,5000,12992
2008/05/08,4926,12500
2008/05/09,4950,12100
2008/05/12,4800,11700
2008/05/13,4790,11920
2008/05/14,4840,12301
2008/05/15,4905,12452
2008/05/16,5000,12452
2008/05/19,5316,12900
2008/05/20,5375,13000
2008/05/21,5260,12701
2008/05/22,5230,12500
2008/05/23,5200,12419
2008/05/26,5185,12450
2008/05/27,5200,12898
2008/05/28,5200,12472
2008/05/29,5210,12250
2008/05/30,5264,12100
2008/06/02,5200,11980
2008/06/03,5040,11800
2008/06/04,4900,11700
2008/06/05,5080,11700
2008/06/06,5045,11800
2008/06/09,5000,11715
2008/06/10,4845,11800
2008/06/11,4851,11801
2008/06/12,5005,11985
2008/06/13,4801,11803
2008/06/17,4701,11775
2008/06/18,4650,11500
2008/06/19,4800,11320
2008/06/20,4670,11700
2008/06/23,4595,11450
2008/06/24,4400,11200
2008/06/25,4400,11200
2008/06/26,4399,11050
2008/06/27,4406,11000
2008/06/30,4490,11050
2008/07/01,4485,11200
2008/07/02,4500,11050
2008/07/03,4200,10855
2008/07/04,4160,10500
2008/07/07,4220,10550
2008/07/08,4160,10150
2008/07/09,3930,10300
2008/07/10,3980,10200
2008/07/11,4130,10260
2008/07/14,3950,10000
2008/07/15,3789,9500
2008/07/16,3870,9600
2008/07/17,4265,10377
2008/07/18,4245,10700
2008/07/21,4280,10800
2008/07/22,4252,10650
2008/07/23,4261,11000
2008/07/24,4375,11305
2008/07/25,4350,11200
2008/07/28,4400,11500
2008/07/29,4350,11295
2008/07/30,4415,11350
2008/07/31,4460,11600
2008/08/01,4375,11200
2008/08/04,4365,11200
2008/08/05,4400,11250
2008/08/06,4420,11470
2008/08/07,4270,11235
2008/08/08,4310,11200
2008/08/11,4620,11171
2008/08/12,4998,11600
2008/08/13,5060,12800
2008/08/14,5130,12800
2008/08/15,5205,12800
2008/08/18,5240,13000
2008/08/19,5150,12800
2008/08/20,5201,12499
2008/08/21,5200,12799
2008/08/22,5300,13000
