Date,Brait,SASFIN
2013/07/01,4130,3340
2013/07/02,4251,3320
2013/07/03,4232,3320
2013/07/04,4248,3400
2013/07/05,4200,3400
2013/07/08,4170,3400
2013/07/09,4161,3400
2013/07/10,4171,3400
2013/07/11,4200,3500
2013/07/12,4200,3500
2013/07/15,4165,3499
2013/07/16,4230,3489
2013/07/17,4310,3484
2013/07/18,4308,3400
2013/07/19,4220,3328
2013/07/22,4200,3380
2013/07/23,4290,3380
2013/07/24,4285,3380
2013/07/25,4245,3380
2013/07/26,4180,3330
2013/07/29,4160,3329
2013/07/30,4230,3329
2013/07/31,4190,3300
2013/08/01,4240,3300
2013/08/02,4301,3380
2013/08/05,4270,3400
2013/08/06,4244,3275
2013/08/07,4290,3300
2013/08/08,4275,3575
2013/08/12,4299,3575
2013/08/13,4241,3501
2013/08/14,4283,3570
2013/08/15,4250,3575
2013/08/16,4300,3575
2013/08/19,4252,3595
2013/08/20,4299,3600
2013/08/21,4250,3596
2013/08/22,4200,3610
2013/08/23,4195,3595
2013/08/26,4221,3595
2013/08/27,4140,3550
2013/08/28,4043,3555
2013/08/29,4100,3555
2013/08/30,4025,3565
2013/09/02,4150,3580
2013/09/03,4150,3550
2013/09/04,4030,3600
2013/09/05,4032,3550
2013/09/06,4066,3550
2013/09/09,4070,3580
2013/09/10,4099,3506
2013/09/11,4140,3650
2013/09/12,4210,3748
2013/09/13,4210,3774
2013/09/16,4240,3700
2013/09/17,4283,3744
2013/09/18,4150,3700
2013/09/19,4201,3620
2013/09/20,4196,3620
2013/09/23,4222,3634
2013/09/25,4280,3625
2013/09/26,4280,3625
2013/09/27,4293,3620
2013/09/30,4275,3700
2013/10/01,4232,3760
2013/10/02,4259,3700
2013/10/03,4230,3725
2013/10/04,4250,3800
2013/10/07,4240,3819
2013/10/08,4215,3843
2013/10/09,4189,3839
2013/10/10,4185,3830
2013/10/11,4223,3830
2013/10/14,4244,3840
2013/10/15,4265,3849
2013/10/16,4320,3799
2013/10/17,4302,3839
2013/10/18,4370,3800
2013/10/21,4418,3940
2013/10/22,4412,3939
2013/10/23,4400,3910
2013/10/24,4478,3920
2013/10/25,4592,3900
2013/10/28,4600,3920
2013/10/29,4620,3945
2013/10/30,4706,4035
2013/10/31,4890,4050
2013/11/01,4900,4100
2013/11/04,4901,4249
2013/11/05,4920,4185
2013/11/06,4935,4185
2013/11/07,4900,4150
2013/11/08,4900,4150
2013/11/11,4945,4250
2013/11/12,5030,4200
2013/11/13,4973,4200
2013/11/14,5020,4131
2013/11/15,5010,4310
2013/11/18,5030,4782
2013/11/19,5023,4878
2013/11/20,5100,4749
2013/11/21,5014,4600
2013/11/22,5050,4500
2013/11/25,5175,4450
2013/11/26,5131,4500
2013/11/27,5345,4500
2013/11/28,5451,4420
2013/11/29,5413,4500
2013/12/02,5413,4500
2013/12/03,5504,4415
2013/12/04,5700,4499
2013/12/05,5550,4500
2013/12/06,5430,4310
2013/12/09,5421,4500
2013/12/10,5460,4315
2013/12/11,5400,4320
2013/12/12,5185,4250
2013/12/13,5000,4250
2013/12/17,5031,4200
2013/12/18,5060,4200
2013/12/19,4965,4200
2013/12/20,5050,4200
2013/12/23,5104,4200
2013/12/24,5070,4400
2013/12/27,5183,4449
2013/12/30,5260,4425
2013/12/31,5244,4425
2014/01/02,5273,4449
2014/01/03,5242,4400
2014/01/06,5240,4400
2014/01/07,5191,4400
2014/01/08,5148,4348
2014/01/09,5139,4350
2014/01/10,5031,4349
2014/01/13,5100,4340
2014/01/14,5100,4350
2014/01/15,5165,4370
2014/01/16,5199,4370
2014/01/17,5077,4350
2014/01/20,5109,4365
2014/01/21,5175,4425
2014/01/22,5177,4500
2014/01/23,5210,4452
2014/01/24,5160,4460
2014/01/27,5045,4500
2014/01/28,5075,4500
2014/01/29,4900,4750
2014/01/30,4730,4404
2014/01/31,4801,4400
2014/02/03,4750,4370
2014/02/04,4783,4260
2014/02/05,4652,4265
2014/02/06,4650,4300
2014/02/07,4700,4400
2014/02/10,4890,4500
2014/02/11,4729,4400
2014/02/12,4823,4525
2014/02/13,4840,4500
2014/02/14,4713,4500
2014/02/17,4745,4356
