Date,M&R,AVENGE
2007/11/13,9400,6390
2007/11/14,9580,6500
2007/11/15,9361,6301
2007/11/16,9300,6405
2007/11/19,9100,6355
2007/11/20,9600,6300
2007/11/21,9460,6100
2007/11/22,9330,6070
2007/11/23,9350,6076
2007/11/26,9401,6080
2007/11/27,9325,5930
2007/11/28,9300,5768
2007/11/29,9100,5673
2007/11/30,9665,5800
2007/12/03,10100,5900
2007/12/04,10100,6100
2007/12/05,10100,6301
2007/12/06,10000,6250
2007/12/07,10200,6100
2007/12/10,10170,6300
2007/12/11,10300,6450
2007/12/12,10415,6550
2007/12/13,10315,6350
2007/12/14,9950,6143
2007/12/18,9700,6060
2007/12/19,9385,6000
2007/12/20,9550,6155
2007/12/21,9900,6075
2007/12/24,9925,6200
2007/12/27,10420,6249
2007/12/28,10325,6175
2007/12/31,10200,6085
2008/01/02,9900,6120
2008/01/03,10000,6125
2008/01/04,9665,6000
2008/01/07,9220,5855
2008/01/08,9200,5945
2008/01/09,9280,5795
2008/01/10,9271,5535
2008/01/11,8675,5280
2008/01/14,8455,5290
2008/01/15,8201,5125
2008/01/16,8350,5150
2008/01/17,9195,5380
2008/01/18,9085,5275
2008/01/21,8800,5115
2008/01/22,8899,5100
2008/01/23,8500,5000
2008/01/24,8500,5150
2008/01/25,8340,4944
2008/01/28,7860,4770
2008/01/29,7800,5010
2008/01/30,8151,5090
2008/01/31,8500,5200
2008/02/01,8872,5300
2008/02/04,9000,5538
2008/02/05,8650,5250
2008/02/06,8501,5460
2008/02/07,8400,5310
2008/02/08,8800,5245
2008/02/11,8440,5190
2008/02/12,8600,5201
2008/02/13,8500,5350
2008/02/14,8900,5550
2008/02/15,9340,5675
2008/02/18,9651,5800
2008/02/19,9600,6100
2008/02/20,9125,5780
2008/02/21,9200,5700
2008/02/22,9149,5640
2008/02/25,9300,5774
2008/02/26,9420,5840
2008/02/27,9400,5700
2008/02/28,9600,5991
2008/02/29,9850,6200
2008/03/03,9840,6050
2008/03/04,9549,5800
2008/03/05,9285,5600
2008/03/06,9300,5593
2008/03/07,9200,5350
2008/03/10,8810,5200
2008/03/11,8801,5250
2008/03/12,9050,5400
2008/03/13,9100,5430
2008/03/14,9180,5650
2008/03/17,8900,5400
2008/03/18,9180,5600
2008/03/19,9300,5500
2008/03/20,8900,5415
2008/03/25,9250,5650
2008/03/26,9100,5998
2008/03/27,9200,5950
2008/03/28,9400,6014
2008/03/31,9550,5800
2008/04/01,9550,6000
2008/04/02,9500,6150
2008/04/03,9633,6150
2008/04/04,9597,5900
2008/04/07,9600,5987
2008/04/08,9399,5750
2008/04/09,9550,5800
2008/04/10,9400,5830
2008/04/11,9450,5850
2008/04/14,9349,5770
2008/04/15,9100,5726
2008/04/16,8802,5425
2008/04/17,8900,5705
2008/04/18,9200,5890
2008/04/21,9200,6125
2008/04/22,9140,5990
2008/04/23,9350,6080
2008/04/24,9150,5900
2008/04/25,9000,5900
2008/04/29,8850,5780
2008/04/30,8850,5705
2008/05/05,9000,5700
2008/05/06,8855,5725
2008/05/07,8650,5700
2008/05/08,8850,5750
2008/05/09,8600,5740
2008/05/12,8395,5700
2008/05/13,8250,5700
2008/05/14,8790,5775
2008/05/15,9000,5899
2008/05/16,9000,5945
2008/05/19,9500,6300
2008/05/20,9490,6450
2008/05/21,9530,6400
2008/05/22,9550,6401
2008/05/23,9600,6450
2008/05/26,9350,6460
2008/05/27,9430,6760
2008/05/28,9300,6830
2008/05/29,8995,6575
2008/05/30,8800,6525
2008/06/02,8500,6410
2008/06/03,8751,6346
2008/06/04,8690,6300
2008/06/05,8800,6490
2008/06/06,8750,6351
2008/06/09,8570,6440
2008/06/10,8599,6290
2008/06/11,8501,6199
2008/06/12,9001,6325
2008/06/13,9050,6416
2008/06/17,8670,6099
2008/06/18,8685,6090
2008/06/19,8510,5990
2008/06/20,8517,5857
2008/06/23,8504,5765
2008/06/24,8495,5638
2008/06/25,8700,5700
2008/06/26,8571,5960
2008/06/27,8700,5654
2008/06/30,8699,5800
2008/07/01,8320,5700
2008/07/02,8440,5800
2008/07/03,8056,5668
2008/07/04,8000,5365
2008/07/07,7850,5225
2008/07/08,7851,5200
2008/07/09,7850,5200
2008/07/10,8060,5480
2008/07/11,7900,5500
2008/07/14,7950,5300
2008/07/15,7650,5000
2008/07/16,7900,5176
2008/07/17,8900,5900
2008/07/18,8521,5800
2008/07/21,8500,5615
2008/07/22,8560,5500
2008/07/23,8650,5500
2008/07/24,8900,5698
2008/07/25,8851,5625
2008/07/28,8895,5700
2008/07/29,9119,5705
2008/07/30,9495,5960
2008/07/31,9600,6200
2008/08/01,9044,5900
2008/08/04,9005,5857
2008/08/05,9188,5850
2008/08/06,9000,5770
2008/08/07,8610,5500
2008/08/08,9500,5700
2008/08/11,9310,5850
2008/08/12,9150,5750
2008/08/13,9200,5900
2008/08/14,9500,6350
2008/08/15,9398,6230
2008/08/18,9200,6100
2008/08/19,9050,5920
2008/08/20,9175,6125
2008/08/21,9020,6695
2008/08/22,9445,6700
2008/08/25,9350,6460
2008/08/26,9660,6495
2008/08/27,10250,6680
2008/08/28,10630,6934
2008/08/29,10400,6620
2008/09/01,10000,6859
2008/09/02,10100,6950
