Date,PSG,Brait
2008/03/19,1929,2225
2008/03/20,1895,2150
2008/03/25,1890,2150
2008/03/26,1801,2150
2008/03/27,1780,2100
2008/03/28,1780,2150
2008/03/31,1760,2125
2008/04/01,1790,2090
2008/04/02,1773,2125
2008/04/03,1790,2125
2008/04/04,1799,2080
2008/04/07,1790,2080
2008/04/08,1780,2125
2008/04/09,1900,2130
2008/04/10,1850,2110
2008/04/11,1838,2120
2008/04/14,1849,2100
2008/04/15,1858,2145
2008/04/16,1879,2150
2008/04/17,1885,2101
2008/04/18,1889,2150
2008/04/21,1990,2150
2008/04/22,1950,2100
2008/04/23,1968,2100
2008/04/24,1960,2080
2008/04/25,1955,2090
2008/04/29,1950,2025
2008/04/30,1950,2000
2008/05/05,1959,2100
2008/05/06,1980,2080
2008/05/07,1995,2078
2008/05/08,2000,2050
2008/05/09,2052,2090
2008/05/12,1950,2090
2008/05/13,1966,2100
2008/05/14,1975,2100
2008/05/15,1975,2153
2008/05/16,1985,2150
2008/05/19,2001,2150
2008/05/20,2005,2150
2008/05/21,2020,2100
2008/05/22,2030,2150
2008/05/23,2030,2150
2008/05/26,2032,2100
2008/05/27,2075,2115
2008/05/28,2040,2101
2008/05/29,2000,2130
2008/05/30,2020,2150
2008/06/02,1990,2150
2008/06/03,2000,2140
2008/06/04,2000,2090
2008/06/05,1995,2075
2008/06/06,2000,2075
2008/06/09,1950,2049
2008/06/10,1921,2075
2008/06/11,1900,2150
2008/06/12,1928,2120
2008/06/13,1975,2100
2008/06/17,1950,2140
2008/06/18,1949,2140
2008/06/19,1900,2100
2008/06/20,1949,2105
2008/06/23,1940,2100
2008/06/24,1850,2117
2008/06/25,1870,2100
2008/06/26,1865,2080
2008/06/27,1820,2010
2008/06/30,1782,2010
2008/07/01,1780,1960
2008/07/02,1779,1950
2008/07/03,1698,1890
2008/07/04,1710,1850
2008/07/07,1720,1800
2008/07/08,1760,1720
2008/07/09,1795,1690
2008/07/10,1785,1641
2008/07/11,1755,1605
2008/07/14,1749,1625
2008/07/15,1850,1625
2008/07/16,1911,1625
2008/07/17,2040,1700
2008/07/18,2050,1702
2008/07/21,2030,1750
2008/07/22,2030,1799
2008/07/23,2000,1800
2008/07/24,2000,1850
2008/07/25,2016,1850
2008/07/28,2010,1830
2008/07/29,2019,1800
2008/07/30,2050,1810
2008/07/31,2070,1850
2008/08/01,2069,2000
2008/08/04,1822,1920
2008/08/05,1825,1900
2008/08/06,1824,1900
2008/08/07,1810,1895
2008/08/08,1790,1892
2008/08/11,1790,1910
2008/08/12,1790,1925
2008/08/13,1799,1925
2008/08/14,1760,1902
2008/08/15,1800,1900
2008/08/18,1839,1900
2008/08/19,1820,1881
2008/08/20,1820,1850
2008/08/21,1820,1800
2008/08/22,1820,1800
2008/08/25,1860,1840
2008/08/26,1830,1766
2008/08/27,1840,1750
2008/08/28,1845,1750
2008/08/29,1838,1710
2008/09/01,1820,1760
2008/09/02,1820,1730
